City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Georgetown,MY,301.15,few clouds,5.4112,100.3354,Cititel Penang
16,Kirakira,SB,300.67,overcast clouds,-10.4544,161.9205,SanBiz Lodge
22,Puerto Ayora,EC,303.15,clear sky,-0.7393,-90.3518,Castillo Galapagos
24,Arraial Do Cabo,BR,306.15,clear sky,-22.9661,-42.0278,Pousada Porto Praia
29,Mahebourg,MU,300.15,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
32,Saldanha,ZA,300.15,clear sky,-33.0117,17.9442,Blue Bay Lodge
36,Geraldton,AU,304.15,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
45,Faanui,PF,300.3,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
50,Carnarvon,AU,303.15,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
55,Telimele,GN,310.86,clear sky,10.9167,-13.3333,
59,Kavieng,PG,300.91,light rain,-2.5744,150.7967,Nusa Island Retreat
72,Itarema,BR,304.32,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
88,Nata,PA,305.15,few clouds,8.3333,-80.5167,Cabañas Estancia Bayamon
92,Butaritari,KI,300.35,light rain,3.0707,172.7902,Isles Sunset Lodge
96,Guaratuba,BR,302.15,broken clouds,-25.8828,-48.5747,Hotel Santa Paula
115,Hithadhoo,MV,301.56,scattered clouds,-0.6,73.0833,Scoop Guest House
117,Luanda,AO,302.15,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
122,Cidreira,BR,300.69,clear sky,-30.1811,-50.2056,Hotel Castelo
124,Kango,GA,301.26,light rain,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
125,Bathsheba,BB,303.15,scattered clouds,13.2167,-59.5167,Atlantis Hotel
129,Rio Grande,BR,301.48,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
134,Saint-Philippe,RE,301.15,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
135,Manaure,CO,303.13,scattered clouds,11.7751,-72.4445,Hotel Palaaima
141,Cururupu,BR,300.41,broken clouds,-1.8283,-44.8683,Pousada Través'cia
144,Castelo Do Piaui,BR,304.22,overcast clouds,-5.3222,-41.5525,Nobre Hotel
148,Viedma,AR,300.93,overcast clouds,-40.8135,-62.9967,Hotel Cristal
151,Kudat,MY,300.15,few clouds,6.8837,116.8477,Dream Garden Hotel
155,Ilhabela,BR,302.08,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
164,Sorong,ID,300.36,overcast clouds,-0.8833,131.25,The Waigo Hotel
171,Kralendijk,BQ,302.15,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
180,Caucaia,BR,303.15,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
190,Touros,BR,303.15,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
191,Tomatlan,MX,303.72,scattered clouds,19.9333,-105.25,Norma franco
200,Kavaratti,IN,300.96,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
201,Aripuana,BR,301.85,overcast clouds,-9.1667,-60.6333,
204,Itaituba,BR,305.15,scattered clouds,-4.2761,-55.9836,Hotel Campos
205,Acari,PE,301.78,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
218,Quatre Cocos,MU,300.93,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
226,Beira,MZ,303.15,few clouds,-19.8436,34.8389,Beira Terrace Hotel
227,Takoradi,GH,301.28,light rain,4.8845,-1.7554,Raybow International Hotel
230,Bambous Virieux,MU,300.93,light rain,-20.3428,57.7575,Casa Tia Villa
236,Buala,SB,300.43,light rain,-8.145,159.5921,Maringe Lagoon Lodge
237,Illela,NG,302.77,clear sky,13.7292,5.2975,
244,Axim,GH,301.27,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
252,Gamba,GA,300.6,scattered clouds,-2.65,10.0,
254,Nioki,CD,300.6,scattered clouds,-2.7167,17.6833,
268,Caravelas,BR,302.99,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
276,Goiania,BR,304.15,scattered clouds,-16.6786,-49.2539,Hotel Maione
281,Basoko,CD,301.83,broken clouds,1.2391,23.616,Flat Hotel La Benediction
282,Yulara,AU,301.15,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
287,Beloha,MG,300.53,broken clouds,-25.1667,45.05,
293,Ndioum,SN,307.15,clear sky,16.5129,-14.6471,l'hôtel samassa
303,Tautira,PF,300.15,few clouds,-17.7333,-149.15,Pension Oaoa
309,Champerico,GT,305.15,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
313,Tonj,SS,303.64,few clouds,7.2737,28.6822,
315,Taoudenni,ML,302.96,clear sky,22.6783,-3.9836,
317,Cap Malheureux,MU,300.93,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
318,Thinadhoo,MV,301.67,scattered clouds,0.5333,72.9333,
319,Cabedelo,BR,303.15,broken clouds,-6.9811,-34.8339,Hotel Pigalle
320,Podor,MR,307.15,clear sky,16.6527,-14.9587,La cour du fleuve
322,Anori,BR,304.46,scattered clouds,-3.7728,-61.6442,Novo Hotel 05 Irmaos
324,Port Keats,AU,300.41,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
329,Souillac,MU,300.15,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
331,Port-Gentil,GA,302.15,scattered clouds,-0.7193,8.7815,Fengshui Residence
337,Oriximina,BR,306.17,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
340,The Valley,AI,302.15,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
351,Abu Zabad,SD,300.07,clear sky,12.35,29.25,محي الدين نوري
352,Nuqui,CO,301.05,moderate rain,5.7125,-77.2708,Hotel Nuquimar
354,Acarau,BR,304.35,broken clouds,-2.8856,-40.12,castelo pizzaria
356,Pitimbu,BR,303.15,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
369,Kaffrine,SN,310.15,clear sky,14.1059,-15.5508,Beuleup counda motel
370,Omboue,GA,300.89,overcast clouds,-1.5746,9.2618,Hotel Olako
372,Manaus,BR,304.15,scattered clouds,-3.1019,-60.025,Hotel do Largo
374,Puerto Ayacucho,VE,306.22,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
382,Paita,PE,302.15,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
408,Jacqueville,CI,303.15,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
411,Maceio,BR,303.15,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
413,Adrar,MR,302.36,overcast clouds,20.5022,-10.0711,
416,Iguape,BR,303.98,overcast clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
423,Puerto Cabezas,NI,302.15,broken clouds,14.0351,-83.3888,Hotel Caribe
426,Barinas,VE,305.38,broken clouds,8.6226,-70.2075,Hotel Suites Mastranto
429,Julio De Castilhos,BR,301.15,broken clouds,-29.2269,-53.6817,Bladmir Rigol da Costa ME
433,Triunfo,BR,303.71,broken clouds,-29.9433,-51.7181,Ilha das Pedras de Triunfo Hotel/RS
436,San Cristobal,VE,303.15,scattered clouds,7.7669,-72.225,Pirineos
442,Grand Gaube,MU,300.93,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
449,San Vicente,AR,303.43,broken clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
452,Ciudad Bolivar,VE,304.51,broken clouds,8.1222,-63.5497,Hotel Edi
457,Mitsamiouli,KM,301.77,overcast clouds,-11.3847,43.2844,Foyer ADM
459,Santa Cruz,BO,302.15,broken clouds,-17.8,-63.1667,Hotel Cortez
466,Nioro,GM,311.24,broken clouds,13.35,-15.75,
467,Maine-Soroa,NE,300.51,scattered clouds,13.2114,12.0241,
477,Mount Isa,AU,304.15,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
485,Yamoussoukro,CI,308.15,haze,6.8206,-5.2767,Residence Heaven
493,Arecibo,PR,303.15,clear sky,18.4724,-66.7157,Atlantic Sand Oasis
500,Anau,PF,300.26,overcast clouds,-16.5167,-151.7333,InterContinental Bora Bora Resort Thalasso Spa
504,Port Hedland,AU,300.15,light intensity drizzle,-20.3167,118.5667,The Esplanade Hotel
510,Pozo Colorado,PY,306.54,scattered clouds,-23.4923,-58.7972,Hospedaje la Amistad
517,Harper,LR,300.71,light rain,4.375,-7.7169,Screensaver
518,Latung,PH,300.83,overcast clouds,5.5,120.8833,
522,Cacu,BR,305.98,broken clouds,-18.5567,-51.1308,Império Hotel
524,Soyo,AO,300.95,scattered clouds,-6.1349,12.3689,Hotel Mpampa
525,Marau,BR,301.69,broken clouds,-28.4492,-52.2,Hotel Pousada Tordilho Negro
527,Saint-Pierre,RE,301.15,clear sky,-21.3393,55.4781,Lindsey Hôtel
530,Tiarei,PF,300.15,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
538,Uribia,CO,304.74,scattered clouds,11.7139,-72.266,Hotel Uribia
542,Toamasina,MG,301.15,scattered clouds,-18.1667,49.3833,Hotel H1
545,Banjar,ID,300.15,heavy intensity rain,-8.19,114.9675,The Hamsa Resort
547,Nouakchott,MR,307.15,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
555,Pilar,BR,303.15,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
556,Jeremie,HT,300.28,few clouds,18.65,-74.1167,Auberge’Inn
557,Mapiri,BO,306.02,overcast clouds,-15.25,-68.1667,
560,Vila Velha,BR,304.82,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
564,Puerto Colombia,CO,304.15,few clouds,10.9878,-74.9547,Hotel El Emigrante
577,Sao Benedito Do Rio Preto,BR,302.82,overcast clouds,-3.3336,-43.5283,João de Barro Hotel
582,Acapulco,MX,302.15,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
594,Grand-Santi,GF,300.51,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
597,Itupiranga,BR,307.15,scattered clouds,-5.1347,-49.3267,Hotel Panorama
599,Poli,TZ,303.15,scattered clouds,-3.3333,36.8,Urafiki House
601,Conde,BR,303.15,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
607,Bella Union,UY,301.91,light rain,-30.2752,-57.6007,Hotel Oriente
618,Fuerte Olimpo,PY,307.64,broken clouds,-21.0415,-57.8738,Hospedaje DAMI
619,Rio Hato,PA,305.15,few clouds,8.3833,-80.1667,Posada Acuarela Farallón (Panamá)
620,Bairiki,KI,300.15,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
637,Upata,VE,302.94,broken clouds,8.0086,-62.3989,Posada Villa Nela
640,Coruripe,BR,301.99,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
641,Chambas,CU,302.15,scattered clouds,22.1928,-78.9136,
642,Inhambane,MZ,303.15,few clouds,-23.865,35.3833,Oceano
643,Robertsport,LR,300.58,few clouds,6.7533,-11.3686,Kwepunha Retreat
647,Bentiu,SS,301.88,scattered clouds,9.2333,29.8333,Mandela hôtel
649,Dimbokro,CI,306.95,few clouds,6.6451,-4.7048,complexe hôtelier le jardin d'Eden
659,Eldorado,BR,300.95,light rain,-23.7869,-54.2836,Villa Verde Hotel
662,Pangoa,PE,304.14,few clouds,-12.1167,-73.0,
674,Maragogi,BR,301.41,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
681,Durazno,UY,300.15,broken clouds,-33.4131,-56.5006,Hotel Santa Cristina
683,Alice Springs,AU,301.15,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
688,Sokolo,ML,302.23,overcast clouds,14.7328,-6.1219,
691,Ko Samui,TH,300.29,scattered clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
